"id","label","name"
"1020","9606","GIT1"
"1021","9606","SYNCRIP"
"1022","9606","PTPN11"
"1023","9606","RARA"
"1024","9606","MECR"
"1025","9606","UFD1L"
"1026","9606","NPLOC4"
"1027","9606","TRIB3"
"1028","9606","ATF4"
"1029","9606","ARNT2"
"1030","9606","PARN"
"1031","9606","SPATC1L"
"1032","9606","EXOSC5"
"1033","9606","NCOA2"
"1034","9606","GFI1"
"1035","9606","ITCH"
"1036","9606","TGS1"
"1037","9606","MYCBP"
"1038","9606","MYCBPAP"
"1039","9606","LOXL1"
"1040","9606","FBLN5"
"1041","9606","MT2A"
"1042","9606","PRKD1"
"1043","9606","PRKG1"
"1044","9606","NPR1"
"1045","9606","RNF11"
"1046","9606","EPS15"
"1047","9606","SLC9A3R2"
"1048","9606","KCNG2"
"1049","9606","KCNB1"
"1050","9606","DIO2"
"1051","9606","USP33"
"1052","9606","CHD3"
"1053","9606","TOPORS"
"1054","9606","PER1"
"1055","9606","CRY1"
"1056","9606","PER2"
"1057","9606","THAP1"
"1058","9606","PAWR"
"1059","9606","SERBP1"
"1060","9606","HSF1"
"1061","9606","SYMPK"
"1062","9606","DTNB"
"1063","9606","KIF5A"
"1064","9606","MCM4"
"1065","9606","LMO4"
"1066","9606","CCNE1"
"1067","9606","CUL3"
"1068","9606","EPB41L2"
"1069","9606","GRIA1"
"1070","9606","PDZD2"
"1071","9606","CTNND2"
"1072","9606","GNG5"
"1073","9606","GNB5"
"1074","9606","GNG4"
"1075","9606","GNG3"
"1076","9606","GNG7"
"1077","9606","ARL6"
"1078","9606","ARL6IP5"
"1079","9606","PIKFYVE"
"1080","9606","GGA2"
"1081","9606","SORT1"
"1082","9606","EXOSC7"
"1083","9606","ZNF496"
"1084","9606","NSD1"
"1085","9606","ARHGAP18"
"1086","9606","KNSTRN"
"1087","9606","EXOSC10"
"1088","9606","SKIV2L2"
"1089","9606","PUM2"
"1090","9606","NANOS1"
"1091","9606","ARL6IP4"
"1092","9606","ARL6IP1"
"1093","9606","POLR1C"
"1094","9606","POLR1D"
"1095","9606","DNAJA3"
"1096","9606","RNF34"
